정책명,카테고리,대상,지원내용,신청방법,필요서류,참고사항
의성군 귀농·귀촌 교육지원 사업,귀농·귀촌 지원,"의성군에 귀농·귀촌하려는 예비 농업인, 또는 귀농·귀촌 후 5년 이내의 신규 농업인","귀농·귀촌에 필요한 농업기술 및 경영관리, 법률, 생활문화 등에 대한 교육 제공",- 의성군청 농업기술센터 또는 의성군 홈페이지에서 신청서를 다운로드 받아 작성,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 귀농·귀촌 정착 지원금 지원 사업,귀농·귀촌 지원,의성군 주민,귀농·귀촌 지원 관련 지원,의성군청 또는 읍·면사무소 방문 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 노인 식생활 개선 지원사업,노인 복지,의성군 주민등록을 둔 만 70세 이상 저소득 어르신,월 1회 건강식 꾸러미 제공(1회당 5만원 상당),거주지 읍·면사무소 방문 또는 전화 신청 후 자격 확인,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 치매 예방 및 관리 지원사업,노인 복지,의성군 주민등록을 둔 만 65세 이상 어르신,연 1회 치매 조기검진 및 교육 프로그램 무료 제공,지역 보건소 방문 또는 전화 사전 예약,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 노인 주거환경 개선사업,노인 복지,의성군 내 안전 취약계층 노인 가구,"가구당 1회 최대 200만원 범위 내에서 안전 손잡이 설치, 화재 경보기 등 설치 비용 지원",읍·면사무소 방문 신청 및 현장 실사 후 지원 결정,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 노인 여가활동 지원사업,노인 복지,의성군 주민등록을 둔 만 65세 이상 어르신,월 1회 문화체험 프로그램 무료 참여 기회 제공,마을회관 또는 읍·면사무소 방문 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 노인 이동 지원 서비스,노인 복지,의성군 거주 만 70세 이상 교통 약자 어르신,지역 내 병원 및 복지시설 방문 시 무료 셔틀버스 서비스,복지관 또는 읍·면사무소 전화 예약,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 노인 정신 건강 상담 서비스,노인 복지,의성군 주민등록을 둔 만 65세 이상 어르신,월 1회 전문 심리상담 무료 제공,지역 보건소 상담센터 전화 예약,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 노인 일자리 지원사업,노인 복지,의성군 거주 만 60세 이상 구직 희망 어르신,월 20시간 근로 기준 월 30만원 지급 일자리 제공,읍·면사무소 또는 노인복지관 방문 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 노인 가사 지원 서비스,노인 복지,의성군 거주 만 75세 이상 독거노인,주 1회 가사 도우미 파견 서비스 제공,읍·면사무소 방문 또는 전화 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 노인 디지털 교육 지원사업,노인 복지,의성군 주민등록을 둔 만 65세 이상 어르신,스마트폰 및 컴퓨터 사용법 교육 주 1회 무료 강좌,읍·면사무소 또는 지역 복지관 사전 등록,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 노인 사회참여 프로그램,노인 복지,의성군 거주 만 65세 이상 어르신,지역 커뮤니티 활동 참여 시 활동비 매월 5만원 지원,마을회관 신청 및 활동 참여 확인 후 지급,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 초등학생 방과 후 프로그램 지원,교육 지원,의성군 내 초등학교에 재학 중인 학생,"방과 후 프로그램 참여비용 최대 10만원 월별 지원, 학기당 5개월 지원","각 초등학교를 통해 신청서 제출, 학교 내 방과 후 프로그램 담당 교사와 상담 후 신청","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 중학생 원어민 영어회화 캠프 지원,교육 지원,의성군 내 중학교 1~3학년 학생,"방학 기간 중 1주일간 원어민 강사와 함께하는 영어회화 캠프 참여 기회 제공, 참가비 전액 지원","각 중학교를 통해 신청서 제출, 학교별 추천 및 추첨을 통해 선발","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 고등학생 학습 멘토링 지원,교육 지원,의성군 내 고등학생 중 학습 지원이 필요한 학생,"매주 1회 대학생 멘토와 1:1 학습 멘토링 제공, 6개월간 지원",학교 생활기록부와 교사 추천서를 제출하여 군 교육청 온라인 포털 통해 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 학생 장학금 지원,교육 지원,의성군에 주민등록이 된 초중고 학생 중 성적 우수자 및 저소득층,"초등학생 30만원, 중학생 50만원, 고등학생 70만원 연 1회 장학금 지급","성적 증명서 및 가정 형편 관련 서류 제출, 군 교육청 홈페이지 온라인 신청","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 다문화가정 학생 교육 지원,교육 지원,의성군 내 초중고에 재학 중인 다문화가정 학생,한국어 교육 및 보충 학습 지원 연간 최대 100만원,학교 내 다문화 담당 교사를 통해 신청서 제출 후 군 교육청 심사,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 농촌 학생 IT 기기 지원,교육 지원,의성군 농촌 지역에 거주하는 초중고 학생,"온라인 학습을 위한 태블릿 PC 및 데이터 요금 지원, 최대 50만원",학교를 통한 신청서 작성 후 군 교육청 방문 또는 우편 접수,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 특수교육 대상 학생 통학비 지원,교육 지원,의성군 내 특수교육 대상 학생,월 최대 15만원의 통학비 지원,학교 교사의 추천서와 함께 군 교육청에 직접 방문 또는 우편 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 교사 역량강화 워크숍 지원,교육 지원,의성군 내 초중고 교사,"연간 3회 전문 강사를 초빙한 역량강화 워크숍, 참가비 전액 지원","학교별로 신청 내역을 취합하여 교육청에 신청, 선착순 접수","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 전통문화 예술가 지원사업,문화 지원,의성군에 주민등록이 되어 있는 전통문화 예술가,"연간 최대 500만원의 창작활동 지원금 제공, 예술 작품 전시 및 공연 기회 지원",의성군청 문화체육과 방문 또는 온라인 신청서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 지역 문화 축제 활성화 지원,문화 지원,의성군 내 지역 축제를 기획하는 비영리 단체 및 지역 공동체,"최대 1,000만원의 축제 기획 및 운영비 지원",의성군청 축제지원팀 방문 신청 및 사업 계획서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 지역 문화유산 보존 프로그램,문화 지원,의성군 내 문화유산 소유자 및 관리자,문화유산 보존 및 복원에 필요한 비용 최대 500만원 지원,"문화재청의 인증을 받은 후, 의성군 문화유산과에 방문하여 신청","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 청소년 문화체험 프로그램,문화 지원,의성군에 거주하는 초·중·고 학생,"연 2회 지역 문화유산 탐방 및 체험활동 지원, 참가비 전액 지원",학교를 통해 단체 신청 또는 의성군청 청소년문화센터 개별 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 문화예술 교육강좌 지원,문화 지원,의성군 주민 누구나,지역 문화예술인 강사진이 진행하는 월 최대 4회 무료 강좌 제공,의성군청 홈페이지에서 온라인 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 주민참여형 문화 프로젝트 지원,문화 지원,의성군 내 주민 모임 및 단체,"프로젝트 당 최대 300만원 지원, 기획 및 실행을 위한 전문가 컨설팅 제공",의성군청 문화정책과 방문 신청 및 프로젝트 제안서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 문화예술 시설 이용료 지원,문화 지원,의성군 소재 문화예술단체 및 개인 작가,"군에서 운영하는 문화예술시설 대관료의 50% 지원, 연간 최대 200만원","시설 예약 후, 의성군청 문화체육과에서 지원 신청","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 다문화 가정을 위한 문화 교류 프로그램,문화 지원,의성군에 거주하는 다문화 가정,"연 4회 다양한 문화체험 및 교류 활동 제공, 참가비 전액 지원",의성군청 다문화센터 방문 또는 전화 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 산모·신생아 건강관리 지원사업,의료 지원,의성군에 거주하는 출산 후 6개월 이내의 산모,"산모와 신생아를 위한 건강관리사 방문 서비스, 최대 10일 지원",출산 후 3개월 이내 거주지 읍·면사무소에서 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 어린이 예방접종비 지원사업,의료 지원,의성군에 주민등록을 둔 만 12세 이하 어린이,국가필수예방접종 비용 전액 지원,지정 의료기관에서 예방접종 후 읍·면사무소에 영수증 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 장애인 의료기기 지원사업,의료 지원,의성군에 등록된 장애인,"보청기, 휠체어 등 의료기기 구입비용 50% 지원, 연간 최대 50만원",장애인등록증과 구입 영수증을 첨부하여 읍·면사무소에 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 정신건강 상담 지원사업,의료 지원,의성군 거주 주민 중 정신건강 상담이 필요한 모든 주민,"전문 심리상담센터와 연계한 무료 상담 서비스, 연간 최대 5회",전화나 온라인으로 군청 보건소에 상담 예약,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 저소득층 치과진료비 지원사업,의료 지원,의성군에 거주하는 중위소득 50% 이하 가구,"스케일링, 충치치료 등 기본 치과진료비 연간 최대 30만원 지원",소득 관련 서류와 함께 읍·면사무소에 진료비 영수증 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 만성질환 관리 지원사업,의료 지원,"의성군에 거주하는 고혈압, 당뇨병 등 만성질환자",월 1회 무료 건강 모니터링 및 상담 서비스 제공,보건소 방문 후 초기 등록 및 상담 예약,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 응급의료비 지원사업,의료 지원,의성군에 주소지를 둔 모든 주민,응급실 진료비 중 비급여 항목에 대해 최대 20만원 지원,응급실 진료 영수증과 주민등록증 사본을 읍·면사무소에 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 청소년 건강증진 프로그램,의료 지원,의성군에 거주하는 만 13세~18세 청소년,"건강한 생활습관 형성을 위한 교육 프로그램 및 체육활동 지원, 연간 최대 10만원",프로그램 시작 전 읍·면사무소에서 신청서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 출산 축하금 지원,출산 육아,의성군에 주민등록을 둔 출산 가정,"첫째 아이 출산 시 30만원, 둘째 아이 50만원, 셋째 아이 이상 100만원 지급",출생신고 시 주민센터 방문하여 개인정보 및 출생증명서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 육아용품 대여 서비스,출산 육아,의성군에 주민등록이 되어 있는 24개월 이하 아이를 둔 가정,"유모차, 카시트, 아기 침대 등 육아용품 무료 대여(최대 1년)",의성군 육아종합지원센터 방문 또는 온라인 신청 후 센터 방문 수령,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 임산부 교통비 지원,출산 육아,의성군에 6개월 이상 거주 중인 임산부,"월 최대 5만원의 교통비(대중교통 및 개인 차량 주유비) 지원, 최대 12개월",진단서 및 임신 사실 확인서와 함께 읍·면사무소 방문 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 영유아 건강검진 지원,출산 육아,의성군 주민등록을 둔 6세 이하 어린이,연 1회 소아과 종합검진 비용 최대 10만원 지원,사전 예약 후 검진 실시 후 영수증과 아이 주민등록등본을 첨부해 읍·면사무소 방문 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 부모 교육 프로그램,출산 육아,의성군에 거주하는 모든 예비 부모 및 부모,"육아 및 부모 역할 교육 프로그램 무료 제공, 주 1회 운영",의성군 육아종합지원센터 홈페이지에서 사전 등록,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 출산 가정 가사 도우미 지원,출산 육아,의성군에 거주 중인 출산 후 12개월 이내 가정,"월 2회, 회당 3시간의 가사 도우미 서비스 무료 제공",출산 후 읍·면사무소에 신청서 제출 후 서비스 배정,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 다자녀 가족 주거비 지원,출산 육아,의성군에 주민등록이 되어 있는 세 자녀 이상 가정,"월 최대 15만원의 주거비 지원, 최대 36개월",가정 상황 증빙서류 제출 후 읍·면사무소 방문 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 일-생활 균형 지원사업,출산 육아,의성군에 거주하며 일하는 부모,육아휴직 중 월 50만원의 생활지원금 최대 6개월 지원,육아휴직 승인서 제출 후 읍·면사무소 방문 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 청년 취업 지원 프로그램,취업 지원,의성군에 주소지를 둔 만 19세~34세 청년,"취업 교육 및 직무 훈련 비용 최대 50만원 지원, 온라인 교육 플랫폼 무료 이용권 제공",의성군 일자리센터 방문 또는 온라인 사이트를 통한 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 중장년 재취업 지원사업,취업 지원,의성군에 거주하는 만 40세~60세 미취업자,재취업을 위한 직무 전환 교육 및 자격증 취득 비용 연간 최대 70만원 지원,읍·면사무소에서 신청서 작성 후 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 여성 재취업 지원 프로그램,취업 지원,의성군에 거주하는 경력단절 여성,"재취업 교육 및 상담 서비스 제공, 취업 알선 및 직무훈련 비용 최대 40만원 지원",의성군 여성센터 방문 또는 전화 상담 후 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 청년 창업 지원금,취업 지원,의성군에 주소지를 둔 만 19세~39세 예비창업자,"창업 초기비용 최대 500만원 지원, 창업 컨설팅 및 네트워킹 기회 제공",의성군 창업지원센터 방문 또는 온라인 신청서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 취업 기회 확대 사업,취업 지원,의성군에 거주하는 모든 취업 희망자,"지역 기업과의 만남의 날 행사 개최, 취업 박람회 참여 기회 제공",의성군 홈페이지에서 사전 등록 후 행사 참여,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 농업 분야 취업 지원 프로그램,취업 지원,의성군에 거주하는 농업 분야 취업 희망자,"농업 기술 교육 및 실습 기회 제공, 농업 관련 자격증 취득 비용 최대 30만원 지원",의성군 농업기술센터 방문 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 장애인 취업 지원 사업,취업 지원,의성군에 거주하는 등록 장애인,"맞춤형 취업 상담 및 직무 훈련 제공, 취업 후 적응 지원 서비스 제공",의성군 사회복지과 방문 또는 전화 상담 후 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 경력단절 중장년층 취업 지원,취업 지원,의성군에 거주하는 만 35세 이상 경력단절 중장년층,"직무능력 진단 및 맞춤형 직업훈련 제공, 취업 알선 및 멘토링 서비스 제공",의성군 노인복지회관 방문 또는 전화 상담 후 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 소상공인 창업 지원금,소상공인 지원,의성군 내에서 창업 예정인 예비 소상공인,"최대 1,000만 원의 창업자금 지원, 창업 후 1년 내 지원",의성군청 경제진흥과 방문 또는 온라인 신청서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 소상공인 경영컨설팅 지원,소상공인 지원,의성군 내 사업자등록을 완료한 소상공인,"경영진단부터 마케팅 전략까지 맞춤형 컨설팅 서비스 제공, 연 2회",의성군 경제진흥과 전화 및 이메일 접수,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 소상공인 온라인 마케팅 지원,소상공인 지원,의성군 소재 소상공인 중 온라인 판매를 희망하는 업체,온라인 플랫폼 입점 지원 및 광고비 최대 200만 원 지원,온라인 신청서 제출 후 심사,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 소상공인 시설개선 지원사업,소상공인 지원,창업 후 3년 이상 운영 중인 의성군 소상공인,노후화된 시설 개선을 위한 비용의 50% 최대 500만 원 지원,의성군청 방문 및 사업계획서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 소상공인 재난피해 복구 지원,소상공인 지원,자연재해로 피해를 입은 의성군 소상공인,"피해 규모에 따라 최대 1,000만 원의 복구비 지원",피해 발생 후 1개월 이내 읍·면사무소 방문 및 피해 확인서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 소상공인 교육 프로그램 지원,소상공인 지원,의성군 내 소상공인 및 직원,"경영, 회계, 마케팅 등 분야별 전문 교육 프로그램 무료 제공",의성군 홈페이지를 통한 선착순 온라인 접수,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 소상공인 협동조합 설립 지원,소상공인 지원,협동조합 설립을 희망하는 의성군 소상공인 단체,"초기 설립비용 및 법률 상담 지원, 최대 300만 원",협동조합 설립 계획서 준비 후 군청 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 소상공인 홍보 영상 제작 지원,소상공인 지원,의성군 내 소상공인 중 지역 특산물 및 서비스를 제공하는 업체,홍보 영상 제작비 최대 200만 원 지원,신청서와 사업 소개서 온라인 제출 후 선정 평가,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 여성 창업 지원 프로그램,여성 지원,의성군에 거주하며 창업을 계획 중인 만 18세 이상의 여성,"창업 초기 자금 최대 500만원 지원, 1년간 멘토링 프로그램 제공","매년 1월, 의성군 홈페이지 온라인 신청 후 서류 심사 및 면접","신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 경력단절 여성 직업교육 지원사업,여성 지원,의성군에 거주하며 경력단절 상태인 만 20세 이상의 여성,"직업교육 프로그램 수강료 전액 지원, 월 최대 20만원의 교통비 지원 (최대 6개월)",교육기관 신청 후 수강 확인서와 함께 의성군 여성센터 방문 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 여성 건강검진 지원사업,여성 지원,의성군 주민등록을 둔 만 40세 이상의 여성,연 1회 여성 건강검진 비용 최대 20만원 지원,의성군 보건소 방문 후 건강검진 예약 및 신청서 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 여성 농업인 복지 지원사업,여성 지원,의성군 내 농업에 종사하는 여성,"연 1회 건강검진 비용 최대 15만원 지원, 농업 관련 교육 프로그램 무료 제공",각 읍·면사무소 농업인 지원 담당 부서 방문 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 여성 자립 지원금,여성 지원,의성군에 거주하는 저소득 여성 가장,"월 30만원의 생활비 지원 (최대 1년), 자립교육 프로그램 참여 시 추가 지원",주민센터 방문 후 지원 신청서와 소득증빙서류 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 여성 안전 지원 서비스,여성 지원,의성군에 거주하는 모든 여성,"스마트폰 앱을 통한 24시간 안전 모니터링 서비스 제공, 안전 교육 프로그램 참여 가능",의성군 홈페이지에서 앱 다운로드 후 회원가입 및 서비스 신청,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 장애인 이동 편의 지원사업,장애인 지원,의성군에 거주하는 등록 장애인 중 보행이 어려운 1급 및 2급 장애인,연간 최대 20회 의성군 내 이동 차량 무료 지원,거주지 읍·면사무소 방문하여 신청서 작성 후 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 장애인 맞춤형 일자리 지원사업,장애인 지원,의성군에 거주하는 만 18세 이상의 등록 장애인,"월 최대 30만원의 근로 장려금과 직무 교육 프로그램 제공, 최대 12개월",의성군청 경제과 방문 또는 온라인 신청서 작성 후 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 장애인 주거환경 개선 지원사업,장애인 지원,의성군 내 자가 주택에 거주하는 저소득 등록 장애인,주거환경 개선을 위한 최대 300만원 지원 (장애인 편의시설 설치 등),거주지 읍·면사무소 방문하여 주거환경 개선 신청서와 필요 서류 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 장애인 가족 돌봄 지원사업,장애인 지원,의성군에 거주하고 있는 장애인 가족으로 등록된 가구,월 최대 20시간의 돌봄 서비스 제공,거주지 읍·면사무소에서 돌봄 서비스 신청서 작성 후 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
의성군 장애인 문화체육 활동 지원사업,장애인 지원,의성군에 거주하는 등록 장애인,연 2회까지 문화 공연 및 체육 활동 프로그램 참여 비용 전액 지원,거주지 읍·면사무소에서 프로그램 신청서 작성 후 제출,"신청서, 주민등록등본, 소득증빙서류","외국인은 지원 제외, 단 귀화자는 가능"
